,Brand,No_of_Cars_Sold
0,VOLKSWAGEN,1769482.0
1,RENAULT,1063957.0
2,FORD,965070.0
3,PEUGEOT,964937.0
4,MERCEDES,902039.0
5,BMW,830862.0
6,OPEL/VAUXHALL,815683.0
7,SKODA,761761.0
8,AUDI,743042.0
9,TOYOTA ,741342.0
10,FIAT,659622.0
11,CITROEN,636843.0
12,DACIA,581543.0
13,HYUNDAI,563018.0
14,SEAT,507149.0
15,KIA,502841.0
16,NISSAN,394091.0
17,VOLVO,342579.0
18,MAZDA,256562.0
19,MINI,217185.0
20,JEEP,167118.0
21,LAND ROVER,151800.0
22,MITSUBISHI,148248.0
23,HONDA,122080.0
24,SMART,114616.0
25,PORSCHE,79624.0
26,JAGUAR,76826.0
27,LANCIA/CHRYSLER,58938.0
28,LEXUS,56055.0
29,ALFA ROMEO,53876.0
